trial,composition,agent,agent_type,wealth,return_pct
18,balanced,genre_4,genre,21055.5128250634,110.55512825063401
18,balanced,career_5,career,10903.31329163422,9.033132916342202
18,balanced,loyalty_6,loyalty,9632.383234042867,-3.6761676595713286
18,balanced,trend_7,trend,4647.741684924747,-53.52258315075253
19,balanced,random_0,random,6663.680907373118,-33.363190926268814
19,balanced,momentum_1,momentum,9231.995185488357,-7.680048145116434
19,balanced,mean_rev_2,mean_rev,9800.961452788195,-1.9903854721180505
19,balanced,value_3,value,10329.77749378345,3.2977749378344923
19,balanced,genre_4,genre,20920.434536330427,109.20434536330427
19,balanced,career_5,career,9679.51724590825,-3.204827540917504
19,balanced,loyalty_6,loyalty,9460.264672840798,-5.397353271592019
19,balanced,trend_7,trend,4420.81380500007,-55.7918619499993
20,balanced,random_0,random,6870.126940132676,-31.298730598673238
20,balanced,momentum_1,momentum,8398.706444906105,-16.012935550938945
20,balanced,mean_rev_2,mean_rev,11107.60660789617,11.076066078961704
20,balanced,value_3,value,10469.573035058484,4.695730350584836
20,balanced,genre_4,genre,20192.567422499116,101.92567422499116
20,balanced,career_5,career,10179.697718986008,1.796977189860081
20,balanced,loyalty_6,loyalty,9518.087173493344,-4.819128265066556
20,balanced,trend_7,trend,4591.6539682848115,-54.08346031715188
21,balanced,random_0,random,7506.576138706025,-24.93423861293975
21,balanced,momentum_1,momentum,8742.599162980088,-12.574008370199117
21,balanced,mean_rev_2,mean_rev,9370.53148689832,-6.294685131016795
21,balanced,value_3,value,10663.59925212345,6.635992521234494
21,balanced,genre_4,genre,21257.234094175103,112.57234094175102
21,balanced,career_5,career,11214.078619676062,12.140786196760619
21,balanced,loyalty_6,loyalty,9785.316056446505,-2.1468394355349485
21,balanced,trend_7,trend,3803.1670567844626,-61.96832943215537
22,balanced,random_0,random,6695.847471167027,-33.04152528832973
22,balanced,momentum_1,momentum,8253.384300699121,-17.46615699300879
22,balanced,mean_rev_2,mean_rev,8836.871266647853,-11.631287333521469
22,balanced,value_3,value,10946.690209565892,9.466902095658916
22,balanced,genre_4,genre,18706.21263438005,87.06212634380049
22,balanced,career_5,career,9221.587638723111,-7.78412361276889
22,balanced,loyalty_6,loyalty,9594.079812659267,-4.0592018734073285
22,balanced,trend_7,trend,5409.471095751064,-45.90528904248936
23,balanced,random_0,random,6678.485935002271,-33.21514064997729
23,balanced,momentum_1,momentum,9002.189086727894,-9.978109132721055
23,balanced,mean_rev_2,mean_rev,10443.361841939875,4.433618419398754
23,balanced,value_3,value,10498.98929430967,4.9898929430966925
23,balanced,genre_4,genre,19801.361754833484,98.01361754833484
23,balanced,career_5,career,10989.52672547954,9.8952672547954
23,balanced,loyalty_6,loyalty,9436.147400026577,-5.638525999734229
23,balanced,trend_7,trend,4846.398916774157,-51.53601083225843
24,balanced,random_0,random,7025.526424369423,-29.744735756305772
24,balanced,momentum_1,momentum,8817.508184291179,-11.824918157088213
24,balanced,mean_rev_2,mean_rev,10219.868455248938,2.198684552489376
24,balanced,value_3,value,10257.323915422314,2.573239154223138
24,balanced,genre_4,genre,20661.440117964692,106.61440117964692
24,balanced,career_5,career,10356.516263955682,3.56516263955682
24,balanced,loyalty_6,loyalty,9682.704522432676,-3.172954775673243
24,balanced,trend_7,trend,4387.266078804647,-56.12733921195353
25,balanced,random_0,random,6603.891584878222,-33.96108415121778
25,balanced,momentum_1,momentum,8153.5054357369345,-18.464945642630656
25,balanced,mean_rev_2,mean_rev,10612.021504638227,6.120215046382273
25,balanced,value_3,value,10522.388999905597,5.223889999055973
25,balanced,genre_4,genre,20660.829447530843,106.60829447530843
25,balanced,career_5,career,9810.12384281056,-1.8987615718943927
25,balanced,loyalty_6,loyalty,9679.158253609281,-3.20841746390719
25,balanced,trend_7,trend,4484.195287745454,-55.15804712254546
26,balanced,random_0,random,6190.831159217061,-38.09168840782939
26,balanced,momentum_1,momentum,8136.103358487345,-18.63896641512655
26,balanced,mean_rev_2,mean_rev,11597.254624177222,15.972546241772216
26,balanced,value_3,value,10667.805073211202,6.678050732112024
26,balanced,genre_4,genre,19918.338991411605,99.18338991411605
26,balanced,career_5,career,9237.084761321457,-7.629152386785426
26,balanced,loyalty_6,loyalty,9787.504438700997,-2.1249556129900338
26,balanced,trend_7,trend,3804.0356021046155,-61.95964397895384
27,balanced,random_0,random,6257.439715647354,-37.425602843526455
27,balanced,momentum_1,momentum,8231.358023213388,-17.68641976786612
27,balanced,mean_rev_2,mean_rev,11295.584730033688,12.955847300336881
27,balanced,value_3,value,10301.562716805505,3.015627168055053
27,balanced,genre_4,genre,19006.989612077417,90.06989612077417
27,balanced,career_5,career,10737.265694732523,7.372656947325231
27,balanced,loyalty_6,loyalty,9454.916066408407,-5.450839335915934
27,balanced,trend_7,trend,3977.544656850301,-60.224553431496986
28,balanced,random_0,random,7137.631818662065,-28.623681813379353
28,balanced,momentum_1,momentum,8374.875627025946,-16.251243729740544
28,balanced,mean_rev_2,mean_rev,9891.986145240173,-1.0801385475982714
28,balanced,value_3,value,9720.752799065127,-2.7924720093487303
28,balanced,genre_4,genre,20901.459553288252,109.01459553288252
28,balanced,career_5,career,10513.549464043257,5.135494640432571
28,balanced,loyalty_6,loyalty,9508.488231198511,-4.915117688014889
28,balanced,trend_7,trend,4933.545984945796,-50.664540150542045
29,balanced,random_0,random,6418.518292356448,-35.81481707643552
29,balanced,momentum_1,momentum,7932.750539803972,-20.67249460196028
29,balanced,mean_rev_2,mean_rev,11003.307693428003,10.033076934280034
29,balanced,value_3,value,10286.090106732214,2.8609010673221382
29,balanced,genre_4,genre,18407.177006579666,84.07177006579667
29,balanced,career_5,career,8981.192715180829,-10.188072848191714
29,balanced,loyalty_6,loyalty,9481.656949329088,-5.183430506709119
29,balanced,trend_7,trend,4861.979303661197,-51.38020696338803
0,financial_focused,random_0,random,6943.806219535119,-30.561937804648807
0,financial_focused,momentum_1,momentum,9298.061975728471,-7.019380242715288
0,financial_focused,momentum_2,momentum,9298.061975728471,-7.019380242715288
0,financial_focused,mean_rev_3,mean_rev,9278.160517662374,-7.218394823376257
0,financial_focused,mean_rev_4,mean_rev,9278.160517662374,-7.218394823376257
0,financial_focused,value_5,value,9855.960593769805,-1.440394062301948
0,financial_focused,value_6,value,9855.960593769805,-1.440394062301948
0,financial_focused,value_7,value,9855.960593769805,-1.440394062301948
0,financial_focused,career_8,career,9446.919287605599,-5.530807123944014
1,financial_focused,random_0,random,6828.354071100794,-31.716459288992063
1,financial_focused,momentum_1,momentum,7925.479232216214,-20.74520767783786
1,financial_focused,momentum_2,momentum,7925.479232216214,-20.74520767783786
1,financial_focused,mean_rev_3,mean_rev,10927.009290222053,9.270092902220531
1,financial_focused,mean_rev_4,mean_rev,10927.009290222053,9.270092902220531
1,financial_focused,value_5,value,10482.320981771409,4.823209817714087
1,financial_focused,value_6,value,10482.320981771409,4.823209817714087
1,financial_focused,value_7,value,10482.320981771409,4.823209817714087
1,financial_focused,career_8,career,9749.161882750339,-2.5083811724966107
2,financial_focused,random_0,random,6312.960166096002,-36.87039833903999
2,financial_focused,momentum_1,momentum,7078.209020354337,-29.217909796456635
2,financial_focused,momentum_2,momentum,7078.209020354337,-29.217909796456635
2,financial_focused,mean_rev_3,mean_rev,9493.904233008652,-5.060957669913478
2,financial_focused,mean_rev_4,mean_rev,9493.904233008652,-5.060957669913478
2,financial_focused,value_5,value,10774.099215090677,7.740992150906768
2,financial_focused,value_6,value,10774.099215090677,7.740992150906768
2,financial_focused,value_7,value,10774.099215090677,7.740992150906768
2,financial_focused,career_8,career,10223.447767410316,2.2344776741031636
3,financial_focused,random_0,random,6183.53465364941,-38.1646534635059
3,financial_focused,momentum_1,momentum,7684.130895872955,-23.158691041270448
3,financial_focused,momentum_2,momentum,7684.130895872955,-23.158691041270448
3,financial_focused,mean_rev_3,mean_rev,9504.416380954683,-4.955836190453174
3,financial_focused,mean_rev_4,mean_rev,9504.416380954683,-4.955836190453174
3,financial_focused,value_5,value,10423.528846079658,4.235288460796583
3,financial_focused,value_6,value,10423.528846079658,4.235288460796583
3,financial_focused,value_7,value,10423.528846079658,4.235288460796583
3,financial_focused,career_8,career,8738.763192153363,-12.61236807846637
4,financial_focused,random_0,random,6396.741564920751,-36.03258435079248
4,financial_focused,momentum_1,momentum,8186.718158142296,-18.132818418577045
4,financial_focused,momentum_2,momentum,8186.718158142296,-18.132818418577045
4,financial_focused,mean_rev_3,mean_rev,10375.317266995406,3.753172669954056
4,financial_focused,mean_rev_4,mean_rev,10375.317266995406,3.753172669954056
4,financial_focused,value_5,value,10250.58774117477,2.5058774117476967
4,financial_focused,value_6,value,10250.58774117477,2.5058774117476967
4,financial_focused,value_7,value,10250.58774117477,2.5058774117476967
4,financial_focused,career_8,career,10899.699219779872,8.996992197798718
5,financial_focused,random_0,random,6161.925778782322,-38.380742212176784
5,financial_focused,momentum_1,momentum,8497.171350550332,-15.028286494496678
5,financial_focused,momentum_2,momentum,8497.171350550332,-15.028286494496678
5,financial_focused,mean_rev_3,mean_rev,9816.763977715898,-1.8323602228410163
5,financial_focused,mean_rev_4,mean_rev,9816.763977715898,-1.8323602228410163
5,financial_focused,value_5,value,9792.648598674441,-2.07351401325559
5,financial_focused,value_6,value,9792.648598674441,-2.07351401325559
5,financial_focused,value_7,value,9792.648598674441,-2.07351401325559
5,financial_focused,career_8,career,10060.84865954248,0.6084865954248017
6,financial_focused,random_0,random,6631.606913249956,-33.683930867500436
6,financial_focused,momentum_1,momentum,8122.856839573839,-18.771431604261608
6,financial_focused,momentum_2,momentum,8122.856839573839,-18.771431604261608
6,financial_focused,mean_rev_3,mean_rev,9406.44225554621,-5.935577444537903
6,financial_focused,mean_rev_4,mean_rev,9406.44225554621,-5.935577444537903
6,financial_focused,value_5,value,9852.704439467969,-1.4729556053203123
6,financial_focused,value_6,value,9852.704439467969,-1.4729556053203123
6,financial_focused,value_7,value,9852.704439467969,-1.4729556053203123
6,financial_focused,career_8,career,7738.655167151856,-22.613448328481436
7,financial_focused,random_0,random,6232.92291348418,-37.670770865158204
7,financial_focused,momentum_1,momentum,7725.8236550636575,-22.741763449363425
7,financial_focused,momentum_2,momentum,7725.8236550636575,-22.741763449363425
7,financial_focused,mean_rev_3,mean_rev,10143.083645771203,1.43083645771203
7,financial_focused,mean_rev_4,mean_rev,10143.083645771203,1.43083645771203
7,financial_focused,value_5,value,9881.546085174874,-1.1845391482512604
7,financial_focused,value_6,value,9881.546085174874,-1.1845391482512604
7,financial_focused,value_7,value,9881.546085174874,-1.1845391482512604
7,financial_focused,career_8,career,9822.738759028436,-1.7726124097156388
8,financial_focused,random_0,random,5817.329850081738,-41.82670149918262
8,financial_focused,momentum_1,momentum,7701.3348433742885,-22.986651566257116
8,financial_focused,momentum_2,momentum,7701.3348433742885,-22.986651566257116
8,financial_focused,mean_rev_3,mean_rev,10277.675123615645,2.7767512361564513
8,financial_focused,mean_rev_4,mean_rev,10277.675123615645,2.7767512361564513
8,financial_focused,value_5,value,9880.280196581014,-1.1971980341898598
8,financial_focused,value_6,value,9880.280196581014,-1.1971980341898598
8,financial_focused,value_7,value,9880.280196581014,-1.1971980341898598
8,financial_focused,career_8,career,9802.024844233216,-1.9797515576678415
9,financial_focused,random_0,random,6705.204263185868,-32.947957368141324
9,financial_focused,momentum_1,momentum,9359.682350623585,-6.403176493764149
9,financial_focused,momentum_2,momentum,9359.682350623585,-6.403176493764149
9,financial_focused,mean_rev_3,mean_rev,9802.994519593407,-1.9700548040659305
9,financial_focused,mean_rev_4,mean_rev,9802.994519593407,-1.9700548040659305
9,financial_focused,value_5,value,10181.681533759602,1.8168153375960174
9,financial_focused,value_6,value,10181.681533759602,1.8168153375960174
9,financial_focused,value_7,value,10181.681533759602,1.8168153375960174
9,financial_focused,career_8,career,13356.268797303801,33.56268797303801
10,financial_focused,random_0,random,6712.221325973524,-32.87778674026477
10,financial_focused,momentum_1,momentum,7232.60703418556,-27.6739296581444
10,financial_focused,momentum_2,momentum,7232.60703418556,-27.6739296581444
10,financial_focused,mean_rev_3,mean_rev,10243.726590743894,2.4372659074389413
10,financial_focused,mean_rev_4,mean_rev,10243.726590743894,2.4372659074389413
10,financial_focused,value_5,value,9285.437756862688,-7.145622431373122
10,financial_focused,value_6,value,9285.437756862688,-7.145622431373122
10,financial_focused,value_7,value,9285.437756862688,-7.145622431373122
10,financial_focused,career_8,career,10299.392929433772,2.9939292943377223
11,financial_focused,random_0,random,5841.269401478416,-41.58730598521584
11,financial_focused,momentum_1,momentum,8216.006124877282,-17.839938751227184
11,financial_focused,momentum_2,momentum,8216.006124877282,-17.839938751227184
11,financial_focused,mean_rev_3,mean_rev,10415.304865525917,4.153048655259172
11,financial_focused,mean_rev_4,mean_rev,10415.304865525917,4.153048655259172
