trial,config,states,steps,agent,wealth,return_pct
12,base_1000,base,1000,random,5084.8651289299405,-49.151348710700596
13,base_1000,base,1000,ql,838.5723613032094,-91.6142763869679
13,base_1000,base,1000,momentum,8533.115111433708,-14.66884888566292
13,base_1000,base,1000,random,5536.745212732509,-44.63254787267491
14,base_1000,base,1000,ql,730.1478491496422,-92.69852150850357
14,base_1000,base,1000,momentum,8129.562707249723,-18.704372927502774
14,base_1000,base,1000,random,5082.138758745028,-49.17861241254972
15,base_1000,base,1000,ql,648.2664538356282,-93.51733546164373
15,base_1000,base,1000,momentum,7559.567244606118,-24.40432755393882
15,base_1000,base,1000,random,4741.465530369976,-52.58534469630025
16,base_1000,base,1000,ql,1005.7916808800933,-89.94208319119907
16,base_1000,base,1000,momentum,7167.634487184589,-28.323655128154115
16,base_1000,base,1000,random,5215.380884937315,-47.846191150626844
17,base_1000,base,1000,ql,608.4482407076653,-93.91551759292335
17,base_1000,base,1000,momentum,8149.902330388267,-18.50097669611733
17,base_1000,base,1000,random,5052.604438518635,-49.47395561481365
18,base_1000,base,1000,ql,1465.1511578601312,-85.34848842139868
18,base_1000,base,1000,momentum,7485.7523100964345,-25.142476899035657
18,base_1000,base,1000,random,4727.226800486546,-52.72773199513453
19,base_1000,base,1000,ql,1152.4828625733612,-88.4751713742664
19,base_1000,base,1000,momentum,8753.50533810279,-12.4649466189721
19,base_1000,base,1000,random,5488.336030615335,-45.11663969384664
20,base_1000,base,1000,ql,3508.9266452595157,-64.91073354740485
20,base_1000,base,1000,momentum,8664.744133209664,-13.35255866790336
20,base_1000,base,1000,random,5427.8421532784505,-45.721578467215494
21,base_1000,base,1000,ql,1174.1641568577913,-88.2583584314221
21,base_1000,base,1000,momentum,7854.568320971556,-21.454316790284437
21,base_1000,base,1000,random,5195.475820221801,-48.04524179778199
22,base_1000,base,1000,ql,1514.100958513978,-84.85899041486022
22,base_1000,base,1000,momentum,8602.219205332936,-13.977807946670637
22,base_1000,base,1000,random,4736.226237219721,-52.63773762780279
23,base_1000,base,1000,ql,829.0566660909959,-91.70943333909004
23,base_1000,base,1000,momentum,7379.572491138154,-26.20427508861846
23,base_1000,base,1000,random,4874.683006026243,-51.253169939737575
24,base_1000,base,1000,ql,2819.2020973888607,-71.80797902611138
24,base_1000,base,1000,momentum,7276.954836684356,-27.230451633156434
24,base_1000,base,1000,random,5314.943851810921,-46.85056148189079
25,base_1000,base,1000,ql,1204.9844611871,-87.950155388129
25,base_1000,base,1000,momentum,8379.442364047742,-16.205576359522585
25,base_1000,base,1000,random,5481.248839247681,-45.18751160752319
26,base_1000,base,1000,ql,681.8208535360792,-93.1817914646392
26,base_1000,base,1000,momentum,7679.906496600414,-23.200935033995858
26,base_1000,base,1000,random,4540.762820694674,-54.59237179305326
27,base_1000,base,1000,ql,1789.3386433857547,-82.10661356614246
27,base_1000,base,1000,momentum,8323.603226049616,-16.76396773950384
27,base_1000,base,1000,random,5126.455600184699,-48.735443998153016
28,base_1000,base,1000,ql,2093.6768616028116,-79.06323138397188
28,base_1000,base,1000,momentum,7365.844413785643,-26.34155586214357
28,base_1000,base,1000,random,5189.728210898386,-48.102717891016134
