trial,volatility,agent,wealth,return_pct
15,0.2,hybrid,16015.75211979348,60.157521197934805
15,0.2,q_learning,4012.37929813791,-59.876207018620896
16,0.2,random,6265.099905320406,-37.34900094679594
16,0.2,career,9133.853658498398,-8.661463415016023
16,0.2,trend,7191.826686558217,-28.081733134417828
16,0.2,genre,10000.0,0.0
16,0.2,mean_rev,8792.873804184559,-12.071261958154409
16,0.2,loyalty,9731.594398535619,-2.684056014643811
16,0.2,value,9495.830733820021,-5.041692661799789
16,0.2,momentum,8602.515340212325,-13.974846597876748
16,0.2,adaptive,8489.324648576345,-15.106753514236551
16,0.2,hybrid,15347.426374214063,53.47426374214063
16,0.2,q_learning,4126.48808384772,-58.735119161522796
17,0.2,random,6307.384607955862,-36.926153920441386
17,0.2,career,9096.042944239676,-9.039570557603238
17,0.2,trend,6383.8433273329265,-36.161566726670735
17,0.2,genre,10000.0,0.0
17,0.2,mean_rev,8527.072500143731,-14.729274998562687
17,0.2,loyalty,9679.057086572255,-3.2094291342774524
17,0.2,value,8952.706347350906,-10.472936526490939
17,0.2,momentum,8462.461573018054,-15.37538426981946
17,0.2,adaptive,8840.399707180733,-11.596002928192666
17,0.2,hybrid,15308.251817984745,53.08251817984745
17,0.2,q_learning,4773.530817741018,-52.26469182258982
18,0.2,random,6863.725306025338,-31.36274693974662
18,0.2,career,10221.025929395908,2.2102592939590795
18,0.2,trend,6418.252416379237,-35.817475836207635
18,0.2,genre,10000.0,0.0
18,0.2,mean_rev,8379.105662047868,-16.208943379521315
18,0.2,loyalty,9480.571405055747,-5.194285949442528
18,0.2,value,9391.832287130255,-6.081677128697447
18,0.2,momentum,7507.393250825082,-24.92606749174918
18,0.2,adaptive,6989.029623896947,-30.10970376103053
18,0.2,hybrid,14562.292540072682,45.622925400726814
18,0.2,q_learning,3610.3130617028655,-63.896869382971346
19,0.2,random,6585.602794950196,-34.14397205049804
19,0.2,career,9977.809538812702,-0.2219046118729784
19,0.2,trend,6444.001053911575,-35.55998946088425
19,0.2,genre,10000.0,0.0
19,0.2,mean_rev,9325.854693273814,-6.7414530672618636
19,0.2,loyalty,9521.665640293324,-4.78334359706676
19,0.2,value,9532.765968301246,-4.672340316987539
19,0.2,momentum,8337.997713335,-16.620022866649997
19,0.2,adaptive,8168.585033374425,-18.31414966625575
19,0.2,hybrid,15990.81192602511,59.9081192602511
19,0.2,q_learning,3082.4879953069076,-69.17512004693093
20,0.2,random,6208.360392031526,-37.91639607968474
20,0.2,career,8602.750403420354,-13.972495965796462
20,0.2,trend,6062.63105699327,-39.373689430067294
20,0.2,genre,10000.0,0.0
20,0.2,mean_rev,9981.230801046604,-0.1876919895339597
20,0.2,loyalty,9495.527493590642,-5.044725064093582
20,0.2,value,9281.106922968813,-7.188930770311872
20,0.2,momentum,8539.956873599196,-14.600431264008039
20,0.2,adaptive,8574.817190248918,-14.251828097510824
20,0.2,hybrid,15736.963153284465,57.36963153284465
20,0.2,q_learning,2801.2395844240436,-71.98760415575957
21,0.2,random,6445.219598951851,-35.547804010481485
21,0.2,career,11369.336735762186,13.693367357621865
21,0.2,trend,4948.28339725069,-50.517166027493104
21,0.2,genre,10000.0,0.0
21,0.2,mean_rev,9977.673843844614,-0.22326156155386342
21,0.2,loyalty,9682.911009080697,-3.1708899091930287
21,0.2,value,8670.97272324583,-13.290272767541701
21,0.2,momentum,8291.973759207314,-17.080262407926856
21,0.2,adaptive,8041.678529510891,-19.583214704891088
21,0.2,hybrid,15626.92596634966,56.2692596634966
21,0.2,q_learning,4391.252447516711,-56.08747552483289
22,0.2,random,6779.525315695581,-32.204746843044184
22,0.2,career,11750.230115393953,17.502301153939534
22,0.2,trend,7802.246380347056,-21.977536196529435
22,0.2,genre,10000.0,0.0
22,0.2,mean_rev,9888.18640349009,-1.1181359650990998
22,0.2,loyalty,9710.558295566765,-2.894417044332349
22,0.2,value,9968.244049129245,-0.31755950870754535
22,0.2,momentum,8430.24769840417,-15.697523015958303
22,0.2,adaptive,7702.118307957883,-22.978816920421167
22,0.2,hybrid,15484.141742476699,54.84141742476699
22,0.2,q_learning,3551.3316500201054,-64.48668349979894
23,0.2,random,6795.234007762441,-32.04765992237559
23,0.2,career,9692.021818172972,-3.0797818182702756
23,0.2,trend,6061.263603794007,-39.38736396205993
23,0.2,genre,10000.0,0.0
23,0.2,mean_rev,8937.962889838303,-10.620371101616966
23,0.2,loyalty,9566.69125593691,-4.333087440630898
23,0.2,value,9421.317879861885,-5.786821201381153
23,0.2,momentum,7989.541975862681,-20.10458024137319
23,0.2,adaptive,8246.19411585747,-17.5380588414253
23,0.2,hybrid,14382.873370197345,43.82873370197345
23,0.2,q_learning,3851.1434110336654,-61.48856588966335
24,0.2,random,6812.075485183447,-31.879245148165527
24,0.2,career,8750.506507662332,-12.494934923376677
24,0.2,trend,6727.200249616509,-32.727997503834914
24,0.2,genre,10000.0,0.0
24,0.2,mean_rev,8705.16010591178,-12.948398940882198
24,0.2,loyalty,9592.011865194247,-4.079881348057533
24,0.2,value,9342.104782213954,-6.578952177860465
24,0.2,momentum,8941.171181259551,-10.588288187404487
24,0.2,adaptive,8493.913782403131,-15.060862175968687
24,0.2,hybrid,15664.093085593666,56.64093085593666
24,0.2,q_learning,3694.7404098170723,-63.05259590182928
25,0.2,random,6104.430469624166,-38.95569530375834
25,0.2,career,10022.585461862522,0.22585461862521697
25,0.2,trend,6384.884699218142,-36.151153007818586
25,0.2,genre,10000.0,0.0
25,0.2,mean_rev,10013.189236655988,0.1318923665598777
25,0.2,loyalty,9390.970104383656,-6.090298956163442
25,0.2,value,9589.990500629037,-4.100094993709627
25,0.2,momentum,8172.041803011671,-18.279581969883292
25,0.2,adaptive,7898.202453175678,-21.017975468243222
25,0.2,hybrid,15646.736812445179,56.46736812445179
25,0.2,q_learning,3810.5028816846843,-61.89497118315316
26,0.2,random,6208.398338535765,-37.91601661464235
26,0.2,career,10793.843578438331,7.9384357843833095
26,0.2,trend,6875.5283696325605,-31.244716303674394
26,0.2,genre,10000.0,0.0
26,0.2,mean_rev,8983.383267169762,-10.16616732830238
26,0.2,loyalty,9372.273392464453,-6.277266075355474
26,0.2,value,9762.668489444412,-2.3733151055558848
26,0.2,momentum,8264.781352365548,-17.352186476344524
26,0.2,adaptive,7183.760740219577,-28.162392597804228
26,0.2,hybrid,15135.630708735769,51.35630708735769
26,0.2,q_learning,3296.5875682062338,-67.03412431793765
27,0.2,random,5789.996284181396,-42.10003715818604
27,0.2,career,11064.911577887437,10.649115778874366
27,0.2,trend,6187.676144392728,-38.12323855607272
27,0.2,genre,10000.0,0.0
27,0.2,mean_rev,9723.767749984654,-2.7623225001534593
27,0.2,loyalty,9571.461751784616,-4.285382482153836
27,0.2,value,9004.151695269711,-9.958483047302888
27,0.2,momentum,8317.318132556764,-16.82681867443236
27,0.2,adaptive,7736.195428570034,-22.63804571429966
27,0.2,hybrid,15392.93270233184,53.9293270233184
27,0.2,q_learning,3455.0827136099256,-65.44917286390074
28,0.2,random,5965.217403182873,-40.34782596817127
28,0.2,career,9828.278830539963,-1.7172116946003735
28,0.2,trend,5660.8112118972585,-43.391887881027415
28,0.2,genre,10000.0,0.0
28,0.2,mean_rev,9137.978939340403,-8.620210606595974
28,0.2,loyalty,9571.882138155412,-4.2811786184458835
28,0.2,value,9415.556467667106,-5.844435323328944
28,0.2,momentum,8403.26750721136,-15.967324927886402
28,0.2,adaptive,8572.72816198533,-14.272718380146706
28,0.2,hybrid,16732.204312460297,67.32204312460297
28,0.2,q_learning,4074.6503480699826,-59.25349651930017
29,0.2,random,6102.95781721623,-38.9704218278377
29,0.2,career,10137.931270207497,1.3793127020749671
29,0.2,trend,6753.667861813454,-32.46332138186546
29,0.2,genre,10000.0,0.0
29,0.2,mean_rev,9990.78145763538,-0.0921854236462059
29,0.2,loyalty,9667.956814091418,-3.3204318590858204
29,0.2,value,9676.692901065564,-3.23307098934436
29,0.2,momentum,7583.950200500117,-24.16049799499883
